"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"355";1780;6;29;NA;"Kuril Islands";46;151;40;7,5
"356";1782;5;22;16;"[Argentina]";-33;-69,2;30;7
"357";1782;8;23;NA;"[subduction]";35,4;139,1;NA;7,2
"358";1783;2;5;12;"Calabria";38,297;15,97;NA;7
"359";1783;11;29;NA;"Santiago. Nonualco";13,63;-88,78;5;6,6
"360";1784;5;13;12;"[Peru]";-16,5;-72;27;8,4
"361";1784;7;18;NA;"Elmali";39,5;40,2;NA;7,6
"362";1784;7;29;21;"Haiti";18,8;-72,667;NA;6,75
"363";1784;8;14;16;"NA af Þjórsárbrú";64;-20,5;10;7,1
"364";1785;1;6;NA;"[Guatemala]";15,5;-89,7;5;7,4
"365";1785;7;11;NA;"Puerto Rico";19,21;-64,6;NA;6,9
"366";1785;7;12;12;"Paramo Chingaza";5;-73,71;NA;7
"367";1786;6;1;NA;"S of Kangding (Sichuan)";29,9;102;NA;7,75
"368";1786;6;10;NA;"Luhuo (Sichuan)";29,4;102,2;NA;7
"369";1787;3;28;NA;"Guerrero-Oxaca";16;-97;NA;8,6
"370";1787;5;2;NA;"Puerto Rico";17,33;-67,54;NA;6,9
"371";1787;7;12;22;"Philippines";11,05;122,25;NA;7,4
"372";1789;5;11;1;"Tokushima, Kochi and Okayama Pref.";33,7;134,3;NA;7
"373";1789;5;28;NA;"Elazig";38,8;39,5;NA;7
"374";1789;6;7;NA;"Huaning (Yunnan)";31;102,9;NA;7
"375";1790;4;6;19;"[Vrancea deep]";45,7;26,6;150;7,1
"376";1790;10;9;1;"Algeria";35,7;-0,6;NA;7
